utc	phase	state	detail
2026-07-18T21:52:02Z	verify_native_prewarm_pool	start	command=verify_native_prewarm_pool
2026-07-18T21:52:03Z	verify_native_prewarm_pool	end	exit_code=0
2026-07-18T21:53:02Z	collect_filtered_markers	start	command=collect_filtered_markers ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/collections/329_native-c1-topology-3x4-w20-formal-child1/data/native/backend-pressure-completion-window-w20-n100000-p0-plateau-sleep50-cap4
2026-07-18T21:53:11Z	collect_filtered_markers	end	exit_code=0
2026-07-18T21:53:11Z	materialize_marker_tsvs	start	command=materialize_marker_tsvs 20 ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/collections/329_native-c1-topology-3x4-w20-formal-child1/data/native/backend-pressure-completion-window-w20-n100000-p0-plateau-sleep50-cap4
2026-07-18T21:53:13Z	materialize_marker_tsvs	end	exit_code=0
2026-07-18T21:53:13Z	require_marker_discovery	start	command=require_completion_window_marker_discovery_complete ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/collections/329_native-c1-topology-3x4-w20-formal-child1/data/native/backend-pressure-completion-window-w20-n100000-p0-plateau-sleep50-cap4 100000
2026-07-18T21:53:13Z	require_marker_discovery	end	exit_code=0
2026-07-18T21:53:13Z	verify_native_action_execution_capacity	start	command=verify_native_action_execution_capacity ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/collections/329_native-c1-topology-3x4-w20-formal-child1/data/native/backend-pressure-completion-window-w20-n100000-p0-plateau-sleep50-cap4
2026-07-18T21:53:14Z	verify_native_action_execution_capacity	end	exit_code=0
2026-07-18T21:53:14Z	capture_container_lifecycle	start	command=capture_container_lifecycle after completion-window 329_native-c1-topology-3x4-w20-formal-child1-completion-window c1_backend_pressure_native_sleep50_329_ccompletion-window
2026-07-18T21:53:14Z	capture_container_lifecycle	end	exit_code=0
2026-07-18T21:53:14Z	remote_summary	start	command=python3 ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/current-scripts/C1/internal-pressure/build_backend_pressure_summary.py --round-root ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/collections/329_native-c1-topology-3x4-w20-formal-child1 --output ANONYMOUS_WORKSPACE/c1-asyncs-3x4-exec-964253a/experiments/collections/329_native-c1-topology-3x4-w20-formal-child1/figures/backend-pressure
2026-07-18T21:53:16Z	remote_summary	end	exit_code=0
2026-07-18T21:53:16Z	final_status	end	exit_code=0
